word,n_TW,n_W,P(W|T),Jaccard,PMI,Lift,my_category,my_note
蒿齊,12,12,0.2181818181818181,0.2181818181818181,3.784694324646432,13.78181818181818,,
九十三,10,10,0.1818181818181818,0.1818181818181818,3.784694324646432,13.78181818181818,,
四百八十,8,8,0.1454545454545454,0.1454545454545454,3.784694324646432,13.78181818181818,,
徵課,8,8,0.1454545454545454,0.1454545454545454,3.784694324646432,13.78181818181818,,
三千八百,8,8,0.1454545454545454,0.1454545454545454,3.784694324646432,13.78181818181818,,
人貞女,7,7,0.1272727272727272,0.1272727272727272,3.784694324646432,13.78181818181818,,
五人,6,6,0.109090909090909,0.109090909090909,3.784694324646432,13.78181818181818,,
六人,6,6,0.109090909090909,0.109090909090909,3.784694324646432,13.78181818181818,,
一十五,5,5,0.0909090909090909,0.0909090909090909,3.784694324646432,13.78181818181818,,
兩五錢,5,5,0.0909090909090909,0.0909090909090909,3.784694324646432,13.78181818181818,,
滋生,5,5,0.0909090909090909,0.0909090909090909,3.784694324646432,13.78181818181818,,
六百六十,5,5,0.0909090909090909,0.0909090909090909,3.784694324646432,13.78181818181818,,
加賦,5,5,0.0909090909090909,0.0909090909090909,3.784694324646432,13.78181818181818,,
八兩有,5,5,0.0909090909090909,0.0909090909090909,3.784694324646432,13.78181818181818,,
表賀,44,46,0.8,0.7719298245614035,3.7205639872267167,13.182608695652174,,
還宮,53,56,0.9636363636363636,0.913793103448276,3.705259857152027,13.043506493506491,,
禮御殿,31,33,0.5636363636363636,0.543859649122807,3.694496515674854,12.9465564738292,,
六萬,14,15,0.2545454545454545,0.25,3.685158651095518,12.863030303030303,,
暮,14,15,0.2545454545454545,0.25,3.685158651095518,12.863030303030303,,
拜神,54,58,0.9818181818181818,0.9152542372881356,3.6816008316823288,12.831347962382443,,
七千四百,13,14,0.2363636363636363,0.2321428571428571,3.67777912072992,12.797402597402597,,
祫,13,14,0.2363636363636363,0.2321428571428571,3.67777912072992,12.797402597402597,,
畢率,47,51,0.8545454545454545,0.7966101694915254,3.666857834352574,12.700891265597148,,
奇徵銀,23,25,0.4181818181818181,0.4035087719298245,3.66440009092872,12.679272727272728,,
貢禮物,54,59,0.9818181818181818,0.9,3.65693877744806,12.61386748844376,,
進歲,54,59,0.9818181818181818,0.9,3.65693877744806,12.61386748844376,,
公內,42,46,0.7636363636363637,0.711864406779661,3.65344979136818,12.583399209486164,,
四十一,10,11,0.1818181818181818,0.1785714285714285,3.647190800896497,12.52892561983471,,
各官外,48,53,0.8727272727272727,0.8,3.641736370804389,12.48164665523156,,
萬壽節,55,61,1.0,0.9016393442622952,3.6353167006082057,12.42622950819672,,
