word,n_W,n_TW,P(W|T),Jaccard,PMI,Lift
一十五,5,5,0.09090909090909091,0.09090909090909091,3.7846943246464324,13.781818181818181
四百八十,8,8,0.14545454545454545,0.14545454545454545,3.7846943246464324,13.781818181818181
兩五錢,5,5,0.09090909090909091,0.09090909090909091,3.7846943246464324,13.781818181818181
五人,6,6,0.10909090909090909,0.10909090909090909,3.784694324646432,13.781818181818181
徵課,8,8,0.14545454545454545,0.14545454545454545,3.7846943246464324,13.781818181818181
滋生,5,5,0.09090909090909091,0.09090909090909091,3.7846943246464324,13.781818181818181
六百六十,5,5,0.09090909090909091,0.09090909090909091,3.7846943246464324,13.781818181818181
蒿齊,12,12,0.21818181818181817,0.21818181818181817,3.784694324646432,13.781818181818181
六人,6,6,0.10909090909090909,0.10909090909090909,3.784694324646432,13.781818181818181
九十三,10,10,0.18181818181818182,0.18181818181818182,3.7846943246464324,13.781818181818181
人貞女,7,7,0.12727272727272726,0.12727272727272726,3.7846943246464324,13.781818181818181
加賦,5,5,0.09090909090909091,0.09090909090909091,3.7846943246464324,13.781818181818181
八兩有,5,5,0.09090909090909091,0.09090909090909091,3.7846943246464324,13.781818181818181
三千八百,8,8,0.14545454545454545,0.14545454545454545,3.7846943246464324,13.781818181818181
表賀,46,44,0.8,0.7719298245614035,3.7205639872267167,13.182608695652174
還宮,56,53,0.9636363636363636,0.9137931034482759,3.7052598571520274,13.043506493506493
禮御殿,33,31,0.5636363636363636,0.543859649122807,3.694496515674854,12.946556473829201
六萬,15,14,0.2545454545454545,0.25,3.685158651095518,12.863030303030303
暮,15,14,0.2545454545454545,0.25,3.685158651095518,12.863030303030303
拜神,58,54,0.9818181818181818,0.9152542372881356,3.6816008316823288,12.831347962382445
七千四百,14,13,0.23636363636363636,0.23214285714285715,3.6777791207299204,12.797402597402597
祫,14,13,0.23636363636363636,0.23214285714285715,3.6777791207299204,12.797402597402597
畢率,51,47,0.8545454545454545,0.7966101694915254,3.666857834352574,12.700891265597148
奇徵銀,25,23,0.41818181818181815,0.40350877192982454,3.66440009092872,12.679272727272727
貢禮物,59,54,0.9818181818181818,0.9,3.6569387774480595,12.61386748844376
進歲,59,54,0.9818181818181818,0.9,3.6569387774480595,12.61386748844376
公內,46,42,0.7636363636363637,0.711864406779661,3.6534497913681796,12.583399209486165
四十一,11,10,0.18181818181818182,0.17857142857142858,3.6471908008964973,12.52892561983471
各官外,53,48,0.8727272727272727,0.8,3.6417363708043893,12.481646655231561
萬壽節,61,55,1.0,0.9016393442622951,3.6353167006082057,12.426229508196721
宮行,49,44,0.8,0.7333333333333333,3.6294160991685214,12.375510204081632
焞,47,42,0.7636363636363637,0.7,3.622422895747555,12.315667311411993
五萬,9,8,0.14545454545454545,0.14285714285714285,3.61476932320412,12.250505050505051
婦滿洲,9,8,0.14545454545454545,0.14285714285714285,3.61476932320412,12.250505050505051
畝有,27,24,0.43636363636363634,0.41379310344827586,3.61476932320412,12.250505050505051
吳喇,9,8,0.14545454545454545,0.14285714285714285,3.61476932320412,12.250505050505051
有奇草,9,8,0.14545454545454545,0.14285714285714285,3.61476932320412,12.250505050505051
統尚書,26,23,0.41818181818181815,0.39655172413793105,3.6078165625623533,12.191608391608392
祭太歲,17,15,0.2727272727272727,0.2631578947368421,3.6041220790046116,12.16042780748663
祭太廟,16,14,0.2545454545454545,0.24561403508771928,3.5920492467040366,12.059090909090909
畦,32,28,0.509090909090909,0.4745762711864407,3.5920492467040366,12.059090909090909
統副,16,14,0.2545454545454545,0.24561403508771928,3.5920492467040366,12.059090909090909
一千六百,16,14,0.2545454545454545,0.24561403508771928,3.5920492467040366,12.059090909090909
上表,55,48,0.8727272727272727,0.7741935483870968,3.588297111842929,12.027768595041323
引行,31,27,0.4909090909090909,0.4576271186440678,3.5853855164230257,12.003519061583578
奇鑄,31,27,0.4909090909090909,0.4576271186440678,3.5853855164230257,12.003519061583578
奇草,23,20,0.36363636363636365,0.3448275862068966,3.5830604634767815,11.984189723320158
錢二萬,23,20,0.36363636363636365,0.3448275862068966,3.5830604634767815,11.984189723320158
門王,15,13,0.23636363636363636,0.22807017543859648,3.5782434471790054,11.944242424242423
孝子,15,13,0.23636363636363636,0.22807017543859648,3.5782434471790054,11.944242424242423
八人,7,6,0.10909090909090909,0.10714285714285714,3.5623019033099843,11.812987012987014
烏朱穆,7,6,0.10909090909090909,0.10714285714285714,3.5623019033099843,11.812987012987014
三千五百,7,6,0.10909090909090909,0.10714285714285714,3.5623019033099843,11.812987012987014
九萬,21,18,0.32727272727272727,0.3103448275862069,3.5623019033099843,11.812987012987014
茶,14,12,0.21818181818181817,0.21052631578947367,3.5623019033099843,11.812987012987014
宴賚如例,61,52,0.9454545454545454,0.8125,3.554396705224638,11.74843517138599
奇米,33,28,0.509090909090909,0.4666666666666667,3.5476551273455827,11.69366391184573
豆麥,33,28,0.509090909090909,0.4666666666666667,3.5476551273455827,11.69366391184573
春,65,55,1.0,0.8461538461538461,3.543686225142637,11.661538461538461
公及,13,11,0.2,0.19298245614035087,3.5436862251426375,11.661538461538461
侍衛等詣,55,46,0.8363636363636363,0.71875,3.5268965671787855,11.526611570247933
六十二,12,10,0.18181818181818182,0.17543859649122806,3.521659918812638,11.484848484848484
統侍衛,6,5,0.09090909090909091,0.08928571428571429,3.521659918812638,11.484848484848484
引徵課,24,20,0.36363636363636365,0.3389830508474576,3.521659918812638,11.484848484848484
劉氏,6,5,0.09090909090909091,0.08928571428571429,3.521659918812638,11.484848484848484
有奇,34,28,0.509090909090909,0.45901639344262296,3.5045864054536966,11.349732620320856
筵宴,67,55,1.0,0.8208955223880597,3.4999648477133194,11.313432835820896
二十四,16,13,0.23636363636363636,0.22413793103448276,3.4851340427875246,11.197727272727272
八萬,16,13,0.23636363636363636,0.22413793103448276,3.4851340427875246,11.197727272727272
八千,25,20,0.36363636363636365,0.3333333333333333,3.46276622975907,11.025454545454545
三十五,10,8,0.14545454545454545,0.14035087719298245,3.46276622975907,11.025454545454545
使臣,60,48,0.8727272727272727,0.7164179104477612,3.46276622975907,11.025454545454545
一千三百,10,8,0.14545454545454545,0.14035087719298245,3.46276622975907,11.025454545454545
六十六,5,4,0.07272727272727272,0.07142857142857142,3.46276622975907,11.025454545454545
七十五,10,8,0.14545454545454545,0.14035087719298245,3.46276622975907,11.025454545454545
三百六十,5,4,0.07272727272727272,0.07142857142857142,3.46276622975907,11.025454545454545
束茶,20,16,0.2909090909090909,0.2711864406779661,3.46276622975907,11.025454545454545
頃,24,19,0.34545454545454546,0.31666666666666665,3.447659337368861,10.91060606060606
棩,14,11,0.2,0.1896551724137931,3.4367710212261255,10.82857142857143
三十四,14,11,0.2,0.1896551724137931,3.4367710212261255,10.82857142857143
陪臣,70,55,1.0,0.7857142857142857,3.4367710212261255,10.82857142857143
朝賀,70,55,1.0,0.7857142857142857,3.4367710212261255,10.82857142857143
克騰,9,7,0.12727272727272726,0.12280701754385964,3.422124245261724,10.71919191919192
克西,9,7,0.12727272727272726,0.12280701754385964,3.422124245261724,10.71919191919192
節婦,52,40,0.7272727272727273,0.5970149253731343,3.4061827013927024,10.601398601398602
禮御,17,13,0.23636363636363636,0.22033898305084745,3.397671201537185,10.53903743315508
石有,17,13,0.23636363636363636,0.22033898305084745,3.397671201537185,10.53903743315508
人丁,37,28,0.509090909090909,0.4375,3.3825958810750865,10.42948402948403
人漢,8,6,0.10909090909090909,0.10526315789473684,3.3696568253675885,10.336363636363636
氏,12,9,0.16363636363636364,0.15517241379310345,3.369656825367588,10.336363636363636
三十一,16,12,0.21818181818181817,0.2033898305084746,3.3696568253675885,10.336363636363636
九十六,12,9,0.16363636363636364,0.15517241379310345,3.369656825367588,10.336363636363636
八十五,8,6,0.10909090909090909,0.10526315789473684,3.3696568253675885,10.336363636363636
六十三,8,6,0.10909090909090909,0.10526315789473684,3.3696568253675885,10.336363636363636
五十四,8,6,0.10909090909090909,0.10526315789473684,3.3696568253675885,10.336363636363636
冬至,74,55,1.0,0.7432432432432432,3.356600672542142,10.243243243243244
兩有,34,25,0.45454545454545453,0.390625,3.3410876731708177,10.133689839572192
五十三,11,8,0.14545454545454545,0.13793103448275862,3.325262706009135,10.023140495867768
九十八,18,13,0.23636363636363636,0.21666666666666667,3.315209041345212,9.953535353535354
八十七,7,5,0.09090909090909091,0.08771929824561403,3.299267497476191,9.844155844155845
三十七,7,5,0.09090909090909091,0.08771929824561403,3.299267497476191,9.844155844155845
八十九,7,5,0.09090909090909091,0.08771929824561403,3.299267497476191,9.844155844155845
六十八,7,5,0.09090909090909091,0.08771929824561403,3.299267497476191,9.844155844155845
