antecedents_str,consequents_str,support,confidence,lift
"兵部, 噶爾丹",提督,0.14814814814814814,0.5,2.25
"噶爾丹, 提督",兵部,0.14814814814814814,0.6666666666666666,2.0
提督,"兵部, 噶爾丹",0.14814814814814814,0.6666666666666666,2.25
"實錄, 提督",噶爾丹,0.14814814814814814,1.0,1.5
提督,"噶爾丹, 實錄",0.14814814814814814,0.6666666666666666,1.6363636363636365
"康熙, 提督",噶爾丹,0.14814814814814814,1.0,1.5
提督,"噶爾丹, 康熙",0.14814814814814814,0.6666666666666666,1.5
"台吉, 提督",噶爾丹,0.1111111111111111,1.0,1.5
庚午,噶爾丹,0.18518518518518517,1.0,1.5
"實錄, 庚午",噶爾丹,0.18518518518518517,1.0,1.5
"噶爾丹, 庚午",實錄,0.18518518518518517,1.0,1.5
庚午,"噶爾丹, 實錄",0.18518518518518517,1.0,2.4545454545454546
"庚午, 康熙",噶爾丹,0.18518518518518517,1.0,1.5
庚午,"噶爾丹, 康熙",0.18518518518518517,1.0,2.25
"庚午, 汗",噶爾丹,0.14814814814814814,1.0,1.5
"噶爾丹, 庚午",汗,0.14814814814814814,0.8,3.085714285714286
"噶爾丹, 汗",庚午,0.14814814814814814,0.5714285714285714,3.085714285714286
庚午,"噶爾丹, 汗",0.14814814814814814,0.8,3.085714285714286
汗,"噶爾丹, 庚午",0.14814814814814814,0.5714285714285714,3.085714285714286
"尚書, 庚午",噶爾丹,0.14814814814814814,1.0,1.5
"噶爾丹, 庚午",尚書,0.14814814814814814,0.8,2.7
"噶爾丹, 尚書",庚午,0.14814814814814814,0.5714285714285714,3.085714285714286
庚午,"噶爾丹, 尚書",0.14814814814814814,0.8,3.085714285714286
尚書,"噶爾丹, 庚午",0.14814814814814814,0.5,2.7
"大將, 庚午",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 庚午",大將,0.1111111111111111,0.6,2.3142857142857145
"噶爾丹, 大將",庚午,0.1111111111111111,0.5,2.7
庚午,"噶爾丹, 大將",0.1111111111111111,0.6,2.7
"台吉, 庚午",噶爾丹,0.1111111111111111,1.0,1.5
庚午,"台吉, 噶爾丹",0.1111111111111111,0.6,1.62
"侍郎, 庚午",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 庚午",侍郎,0.1111111111111111,0.6,2.025
"侍郎, 噶爾丹",庚午,0.1111111111111111,0.5,2.7
庚午,"侍郎, 噶爾丹",0.1111111111111111,0.6,2.7
"丹巴, 庚午",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 庚午",丹巴,0.1111111111111111,0.6,2.025
庚午,"丹巴, 噶爾丹",0.1111111111111111,0.6,2.025
"噶爾丹, 庚午",胡土克圖,0.1111111111111111,0.6,1.62
"庚午, 胡土克圖",噶爾丹,0.1111111111111111,1.0,1.5
庚午,"噶爾丹, 胡土克圖",0.1111111111111111,0.6,1.62
"台吉, 都御史",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 都御史",台吉,0.1111111111111111,1.0,2.25
都御史,"台吉, 噶爾丹",0.1111111111111111,0.75,2.025
都御史,"噶爾丹, 康熙",0.1111111111111111,0.75,1.6875
"噶爾丹, 都御史",實錄,0.1111111111111111,1.0,1.5
都御史,"噶爾丹, 實錄",0.1111111111111111,0.75,1.840909090909091
"噶爾丹, 總兵",都御史,0.1111111111111111,0.5,3.375
"噶爾丹, 都御史",總兵,0.1111111111111111,1.0,2.7
都御史,"噶爾丹, 總兵",0.1111111111111111,0.75,3.375
郎中,噶爾丹,0.1111111111111111,1.0,1.5
"汗, 郎中",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 郎中",汗,0.1111111111111111,1.0,3.857142857142857
郎中,"噶爾丹, 汗",0.1111111111111111,1.0,3.857142857142857
"尚書, 郎中",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 郎中",尚書,0.1111111111111111,1.0,3.375
郎中,"噶爾丹, 尚書",0.1111111111111111,1.0,3.857142857142857
"兵部, 郎中",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 郎中",兵部,0.1111111111111111,1.0,3.0
郎中,"兵部, 噶爾丹",0.1111111111111111,1.0,3.375
"台吉, 郎中",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 郎中",台吉,0.1111111111111111,1.0,2.25
郎中,"台吉, 噶爾丹",0.1111111111111111,1.0,2.7
"康熙, 郎中",噶爾丹,0.1111111111111111,1.0,1.5
郎中,"噶爾丹, 康熙",0.1111111111111111,1.0,2.25
戊辰,噶爾丹,0.1111111111111111,1.0,1.5
"庚午, 戊辰",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 庚午",戊辰,0.1111111111111111,0.6,5.4
