antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"八旗, 朔",朝鮮國王,2,1,0.0527704485488126,0.7017543859649122,9.671451355661882,"八旗(SYS), 朔(DATE)",朝鮮國王(PER)
"朝鮮國王, 貝勒貝子",諸王,2,1,0.0633245382585752,0.979591836734694,9.643254704479196,"朝鮮國王(PER), 貝勒貝子(OFF)",諸王(OFF)
諸王,"朝鮮國王, 貝勒貝子",1,2,0.0633245382585752,0.6233766233766234,9.643254704479194,諸王(OFF),"朝鮮國王(PER), 貝勒貝子(OFF)"
"大學士, 朝鮮國王",諸王,2,1,0.0620052770448548,0.9791666666666666,9.639069264069263,"大學士(OFF), 朝鮮國王(PER)",諸王(OFF)
諸王,"大學士, 朝鮮國王",1,2,0.0620052770448548,0.6103896103896104,9.639069264069263,諸王(OFF),"大學士(OFF), 朝鮮國王(PER)"
"八旗, 朝鮮國王",諸王,2,1,0.050131926121372,0.926829268292683,9.1238517579981,"八旗(SYS), 朝鮮國王(PER)",諸王(OFF)
朝鮮國王,"八旗, 康熙",1,2,0.0540897097625329,0.7454545454545455,8.828977272727274,朝鮮國王(PER),"八旗(SYS), 康熙(DATE)"
"八旗, 康熙",朝鮮國王,2,1,0.0540897097625329,0.640625,8.828977272727274,"八旗(SYS), 康熙(DATE)",朝鮮國王(PER)
"朝鮮國王, 藩王",諸王,2,1,0.0567282321899736,0.8958333333333333,8.818722943722943,"朝鮮國王(PER), 藩王(OFF)",諸王(OFF)
諸王,"朝鮮國王, 藩王",1,2,0.0567282321899736,0.5584415584415584,8.818722943722943,諸王(OFF),"朝鮮國王(PER), 藩王(OFF)"
"朝鮮國王, 滿洲",八旗,2,1,0.050131926121372,0.95,8.78170731707317,"朝鮮國王(PER), 滿洲(GRP)",八旗(SYS)
"朔, 朝鮮國王",諸王,2,1,0.0633245382585752,0.8888888888888888,8.75036075036075,"朔(DATE), 朝鮮國王(PER)",諸王(OFF)
"堂子, 朝鮮國王",諸王,2,1,0.0633245382585752,0.8888888888888888,8.75036075036075,"堂子(LOC), 朝鮮國王(PER)",諸王(OFF)
諸王,"朔, 朝鮮國王",1,2,0.0633245382585752,0.6233766233766234,8.75036075036075,諸王(OFF),"朔(DATE), 朝鮮國王(PER)"
諸王,"堂子, 朝鮮國王",1,2,0.0633245382585752,0.6233766233766234,8.75036075036075,諸王(OFF),"堂子(LOC), 朝鮮國王(PER)"
朝鮮國王,諸王,1,1,0.0633245382585752,0.8727272727272728,8.591263282172374,朝鮮國王(PER),諸王(OFF)
"康熙, 朝鮮國王",諸王,2,1,0.0633245382585752,0.8727272727272728,8.591263282172374,"康熙(DATE), 朝鮮國王(PER)",諸王(OFF)
"朝鮮國王, 正月",諸王,2,1,0.0633245382585752,0.8727272727272728,8.591263282172374,"朝鮮國王(PER), 正月(DATE)",諸王(OFF)
"元旦, 朝鮮國王",諸王,2,1,0.0633245382585752,0.8727272727272728,8.591263282172374,"元旦(DATE), 朝鮮國王(PER)",諸王(OFF)
諸王,朝鮮國王,1,1,0.0633245382585752,0.6233766233766234,8.591263282172374,諸王(OFF),朝鮮國王(PER)
諸王,"康熙, 朝鮮國王",1,2,0.0633245382585752,0.6233766233766234,8.591263282172374,諸王(OFF),"康熙(DATE), 朝鮮國王(PER)"
諸王,"朝鮮國王, 正月",1,2,0.0633245382585752,0.6233766233766234,8.591263282172374,諸王(OFF),"朝鮮國王(PER), 正月(DATE)"
諸王,"元旦, 朝鮮國王",1,2,0.0633245382585752,0.6233766233766234,8.591263282172374,諸王(OFF),"元旦(DATE), 朝鮮國王(PER)"
朝鮮國王,"朔, 滿洲",1,2,0.0514511873350923,0.7090909090909091,7.465151515151516,朝鮮國王(PER),"朔(DATE), 滿洲(GRP)"
"朔, 滿洲",朝鮮國王,2,1,0.0514511873350923,0.5416666666666666,7.465151515151515,"朔(DATE), 滿洲(GRP)",朝鮮國王(PER)
"朝鮮國王, 貝勒貝子",八旗,2,1,0.0514511873350923,0.7959183673469388,7.357391737182678,"朝鮮國王(PER), 貝勒貝子(OFF)",八旗(SYS)
"大學士, 朝鮮國王",八旗,2,1,0.050131926121372,0.7916666666666666,7.318089430894308,"大學士(OFF), 朝鮮國王(PER)",八旗(SYS)
"朝鮮國王, 諸王",八旗,2,1,0.050131926121372,0.7916666666666666,7.318089430894308,"朝鮮國王(PER), 諸王(OFF)",八旗(SYS)
"大學士, 朔",朝鮮國王,2,1,0.0633245382585752,0.505263157894737,6.963444976076557,"大學士(OFF), 朔(DATE)",朝鮮國王(PER)
朝鮮國王,"大學士, 朔",1,2,0.0633245382585752,0.8727272727272728,6.963444976076556,朝鮮國王(PER),"大學士(OFF), 朔(DATE)"
朝鮮國王,八旗,1,1,0.0540897097625329,0.7454545454545455,6.890909090909092,朝鮮國王(PER),八旗(SYS)
"康熙, 朝鮮國王",八旗,2,1,0.0540897097625329,0.7454545454545455,6.890909090909092,"康熙(DATE), 朝鮮國王(PER)",八旗(SYS)
"朝鮮國王, 正月",八旗,2,1,0.0540897097625329,0.7454545454545455,6.890909090909092,"朝鮮國王(PER), 正月(DATE)",八旗(SYS)
"元旦, 朝鮮國王",八旗,2,1,0.0540897097625329,0.7454545454545455,6.890909090909092,"元旦(DATE), 朝鮮國王(PER)",八旗(SYS)
八旗,朝鮮國王,1,1,0.0540897097625329,0.5,6.890909090909092,八旗(SYS),朝鮮國王(PER)
八旗,"康熙, 朝鮮國王",1,2,0.0540897097625329,0.5,6.890909090909092,八旗(SYS),"康熙(DATE), 朝鮮國王(PER)"
八旗,"朝鮮國王, 正月",1,2,0.0540897097625329,0.5,6.890909090909092,八旗(SYS),"朝鮮國王(PER), 正月(DATE)"
八旗,"元旦, 朝鮮國王",1,2,0.0540897097625329,0.5,6.890909090909092,八旗(SYS),"元旦(DATE), 朝鮮國王(PER)"
