vassal,total_months,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,jan_ratio
蒙古,154,38,10,12,15,10,9,7,9,8,15,7,11,0.24675324675324675
琉球,6,0,0,1,0,0,0,1,0,1,3,0,0,0.0
安南,7,0,0,1,1,1,1,0,0,1,0,1,1,0.0
哈薩克,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
準噶爾,40,1,0,2,3,4,4,7,6,3,4,3,2,0.025
達賴,38,2,2,2,3,2,5,6,5,1,3,2,1,0.05263157894736842
朝鮮,58,56,0,1,0,0,0,0,0,0,0,1,0,0.9655172413793104
