antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"兵部, 康熙",實錄,2,1,0.07387862796833773,0.6436781609195402,1.8411624376491,"兵部(OFF), 康熙(DATE)",實錄(SYS)
"吏部, 康熙",實錄,2,1,0.06596306068601583,0.6410256410256411,1.833575229801645,"吏部(OFF), 康熙(DATE)",實錄(SYS)
"元旦, 朔",實錄,2,1,0.051451187335092345,0.6393442622950819,1.828765852149706,"元旦(DATE), 朔(DATE)",實錄(SYS)
"朔, 滿洲",實錄,2,1,0.06068601583113457,0.638888888888889,1.827463312368973,"朔(DATE), 滿洲(GRP)",實錄(SYS)
"八旗, 滿洲",康熙,2,1,0.059366754617414245,0.8999999999999999,1.8240641711229943,"八旗(SYS), 滿洲(GRP)",康熙(DATE)
"八旗, 康熙",朔,2,1,0.06464379947229551,0.765625,1.81357421875,"八旗(SYS), 康熙(DATE)",朔(DATE)
貝勒貝子,"實錄, 康熙",1,2,0.051451187335092345,0.609375,1.8043212890625,貝勒貝子(OFF),"實錄(SYS), 康熙(DATE)"
"巡撫, 康熙",實錄,2,1,0.05408970976253298,0.6307692307692307,1.8042380261248185,"巡撫(OFF), 康熙(DATE)",實錄(SYS)
"朔, 諸王",實錄,2,1,0.051451187335092345,0.6290322580645161,1.7992696287279368,"朔(DATE), 諸王(OFF)",實錄(SYS)
"八旗, 蒙古",康熙,2,1,0.06068601583113457,0.8846153846153847,1.792883587001234,"八旗(SYS), 蒙古(GRP)",康熙(DATE)
"八旗, 蒙古",朔,2,1,0.051451187335092345,0.75,1.7765625,"八旗(SYS), 蒙古(GRP)",朔(DATE)
昭陵,康熙,1,1,0.10949868073878628,0.8736842105263158,1.7707289614410358,昭陵(LOC),康熙(DATE)
"昭陵, 福陵",康熙,2,1,0.10949868073878628,0.8736842105263158,1.7707289614410358,"昭陵(LOC), 福陵(LOC)",康熙(DATE)
永陵,康熙,1,1,0.10949868073878628,0.8736842105263158,1.7707289614410358,永陵(LOC),康熙(DATE)
"永陵, 福陵",康熙,2,1,0.10817941952506596,0.8723404255319149,1.7680054613721699,"永陵(LOC), 福陵(LOC)",康熙(DATE)
"昭陵, 永陵",康熙,2,1,0.10817941952506596,0.8723404255319149,1.7680054613721699,"昭陵(LOC), 永陵(LOC)",康熙(DATE)
"實錄, 滿洲",朔,2,1,0.06068601583113457,0.7419354838709677,1.7574596774193547,"實錄(SYS), 滿洲(GRP)",朔(DATE)
福陵,康熙,1,1,0.11081794195250659,0.8659793814432989,1.7551132918021939,福陵(LOC),康熙(DATE)
貝勒貝子,實錄,1,1,0.051451187335092345,0.609375,1.7430424528301887,貝勒貝子(OFF),實錄(SYS)
"八旗, 朔",康熙,2,1,0.06464379947229551,0.8596491228070174,1.742283516277324,"八旗(SYS), 朔(DATE)",康熙(DATE)
"康熙, 王",朔,2,1,0.06200527704485488,0.734375,1.73955078125,"康熙(DATE), 王(OFF)",朔(DATE)
"朔, 王",康熙,2,1,0.06200527704485488,0.8545454545454546,1.7319397180359748,"朔(DATE), 王(OFF)",康熙(DATE)
"侍衛, 大學士",康熙,2,1,0.051451187335092345,0.8478260869565216,1.7183213206231105,"侍衛(OFF), 大學士(OFF)",康熙(DATE)
諸王,康熙,1,1,0.08575197889182058,0.8441558441558441,1.7108827001875129,諸王(OFF),康熙(DATE)
諸王,實錄,1,1,0.06068601583113457,0.5974025974025974,1.7087968635138446,諸王(OFF),實錄(SYS)
"大學士, 滿洲",朔,2,1,0.05672823218997362,0.7166666666666667,1.6976041666666666,"大學士(OFF), 滿洲(GRP)",朔(DATE)
"大學士, 蒙古",實錄,2,1,0.051451187335092345,0.5909090909090908,1.6902229845626071,"大學士(OFF), 蒙古(GRP)",實錄(SYS)
"大學士, 蒙古",朔,2,1,0.06200527704485488,0.712121212121212,1.686837121212121,"大學士(OFF), 蒙古(GRP)",朔(DATE)
八旗,"實錄, 康熙",1,2,0.06068601583113457,0.5609756097560976,1.6610137195121955,八旗(SYS),"實錄(SYS), 康熙(DATE)"
"大學士, 滿洲",康熙,2,1,0.06464379947229551,0.8166666666666665,1.6551693404634578,"大學士(OFF), 滿洲(GRP)",康熙(DATE)
諸王,"實錄, 康熙",1,2,0.05672823218997362,0.5584415584415584,1.653510551948052,諸王(OFF),"實錄(SYS), 康熙(DATE)"
"康熙, 滿洲",朔,2,1,0.07519788918205805,0.6951219512195123,1.6465701219512197,"康熙(DATE), 滿洲(GRP)",朔(DATE)
八旗,朔,1,1,0.07519788918205805,0.6951219512195123,1.6465701219512197,八旗(SYS),朔(DATE)
八旗,實錄,1,1,0.06200527704485488,0.573170731707317,1.6394845835250804,八旗(SYS),實錄(SYS)
"太廟, 康熙",實錄,2,1,0.09366754617414248,0.5680000000000001,1.6246943396226416,"太廟(LOC), 康熙(DATE)",實錄(SYS)
"朔, 滿洲",康熙,2,1,0.07519788918205805,0.7916666666666667,1.6045008912655971,"朔(DATE), 滿洲(GRP)",康熙(DATE)
"滿洲, 蒙古",實錄,2,1,0.05672823218997362,0.5584415584415584,1.59735358980642,"滿洲(GRP), 蒙古(GRP)",實錄(SYS)
八旗,康熙,1,1,0.08443271767810026,0.7804878048780488,1.5818442676405373,八旗(SYS),康熙(DATE)
"朔, 蒙古",實錄,2,1,0.05672823218997362,0.5512820512820513,1.5768746976294148,"朔(DATE), 蒙古(GRP)",實錄(SYS)
"大學士, 康熙",朔,2,1,0.09366754617414248,0.663551401869159,1.5717873831775702,"大學士(OFF), 康熙(DATE)",朔(DATE)
